DEB [20230122-23:10:04.103] thr=1   paramiko.transport: starting thread (client mode): 0xbfe04460
DEB [20230123-10:29:33.712] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-10:29:33.712] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-10:29:33.712] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-10:29:33.712] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-10:29:33.713] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-10:29:33.713] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-10:29:33.718] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-10:29:33.718] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-10:29:33.720] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-10:30:57.999] thr=1   paramiko.transport: starting thread (client mode): 0x335bcb50
DEB [20230123-10:30:58.006] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-10:30:58.019] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-10:30:58.020] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-10:30:58.025] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-10:30:58.026] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-10:30:58.027] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-10:30:58.028] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-10:30:58.028] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-10:30:58.029] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-10:30:58.038] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-10:30:58.039] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-10:31:18.039] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-10:32:06.504] thr=1   paramiko.transport: starting thread (client mode): 0xae16fc70
DEB [20230123-10:32:06.506] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-10:32:06.530] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-10:32:06.530] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-10:32:06.532] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-10:32:06.533] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-10:32:06.533] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-10:32:06.533] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-10:32:06.533] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-10:32:06.534] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-10:32:06.539] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-10:32:06.539] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-10:32:26.540] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-10:33:14.538] thr=1   paramiko.transport: starting thread (client mode): 0x46ccfc70
DEB [20230123-10:33:14.539] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-10:33:14.561] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-10:33:14.562] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-10:33:14.564] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-10:33:14.564] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-10:33:14.564] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-10:33:14.565] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-10:33:14.565] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-10:33:14.565] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-10:33:14.571] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-10:33:14.572] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-10:33:34.572] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-10:34:54.885] thr=1   paramiko.transport: starting thread (client mode): 0x90ffc70
DEB [20230123-10:34:54.886] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-10:34:54.909] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-10:34:54.910] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-10:34:54.911] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-10:34:54.912] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-10:34:54.912] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-10:34:54.912] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-10:34:54.912] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-10:34:54.913] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-10:34:54.918] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-10:34:54.918] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-10:35:05.164] thr=1   paramiko.transport: userauth is OK
DEB [20230123-10:35:05.333] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-10:40:43.251] thr=1   paramiko.transport: starting thread (client mode): 0xaf81fc70
DEB [20230123-10:40:43.252] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-10:40:43.291] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-10:40:43.291] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-10:40:43.296] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-10:40:43.296] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-10:40:43.297] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-10:40:43.297] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-10:40:43.297] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-10:40:43.297] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-10:40:43.307] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-10:40:43.307] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-10:40:52.566] thr=1   paramiko.transport: userauth is OK
DEB [20230123-10:41:03.313] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-10:48:05.935] thr=1   paramiko.transport: starting thread (client mode): 0xffe5fc70
DEB [20230123-10:48:05.936] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-10:48:05.961] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-10:48:05.961] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-10:48:05.963] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
